file,parse_ok,parse_error,method_count,parameter_count,max_parameters,local_variable_count,if_count,loop_count,switch_count,catch_count,cyclomatic_proxy,max_control_nesting,abrupt_exit_count,try_count,try_with_resources_count,throw_count,empty_catch_count,empty_block_count,null_check_count,exception_handling_count,snippet_id,mode,version
so_28901180_block_2.java,True,,8.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,so_28901180_block_2,RAW,before
so_29226591_block_2.java,True,,3.0,16.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,so_29226591_block_2,RAW,before
so_29230939_block_4.java,True,,4.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,so_29230939_block_4,RAW,before
so_29330741_block_6.java,True,,1.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,so_29330741_block_6,RAW,before
so_29548090_block_4.java,True,,13.0,8.0,2.0,1.0,2.0,1.0,0.0,0.0,4.0,2.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,so_29548090_block_4,RAW,before
so_29575747_block_2.java,True,,1.0,1.0,1.0,7.0,4.0,1.0,0.0,0.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,so_29575747_block_2,RAW,before
so_29866762_block_2.java,True,,1.0,7.0,7.0,6.0,3.0,1.0,0.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,so_29866762_block_2,RAW,before
so_30952083_block_2.java,True,,1.0,1.0,1.0,5.0,4.0,1.0,0.0,1.0,7.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,so_30952083_block_2,RAW,before
so_31868761_block_4.java,True,,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,so_31868761_block_4,RAW,before
so_32164598_block_8.java,True,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,so_32164598_block_8,RAW,before
so_32855556_block_4.java,True,,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,5.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,4.0,so_32855556_block_4,RAW,before
so_33085670_block_2.java,True,,1.0,2.0,2.0,5.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,so_33085670_block_2,RAW,before
so_33270545_block_2.java,True,,2.0,3.0,2.0,6.0,6.0,1.0,0.0,1.0,9.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,4.0,so_33270545_block_2,RAW,before
